iter	Passed	Remaining
676	18636	633
677	18660	605
678	18687	577
679	18711	550
680	18739	522
681	18761	495
682	18782	467
683	18806	439
684	18831	412
685	18856	384
686	18878	357
687	18903	329
688	18932	302
689	18961	274
690	18983	247
691	19007	219
692	19033	192
693	19061	164
694	19083	137
695	19111	109
696	19137	82
697	19162	54
698	19189	27
699	19212	0
